#Brulandsfoss ndf., 84.21.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2019-07-11 11:00:00Z;43,3098;0;3
2019-07-12 11:00:00Z;38,55518;0;3
2019-07-13 11:00:00Z;34,62273;0;3
2019-07-14 11:00:00Z;32,75509;0;3
2019-07-15 11:00:00Z;30,94924;0;3
2019-07-16 11:00:00Z;29,26478;0;3
2019-07-17 11:00:00Z;27,88522;0;3
2019-07-18 11:00:00Z;25,93865;0;3
2019-07-19 11:00:00Z;24,56711;0;3
2019-07-20 11:00:00Z;24,13292;0;3
2019-07-21 11:00:00Z;26,06363;0;3
2019-07-22 11:00:00Z;28,40187;0;3
2019-07-23 11:00:00Z;28,24597;0;3
2019-07-24 11:00:00Z;28,46811;0;3
