#Hovefoss, 84.11.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2019-04-08 11:00:00Z;7,964335;0;3
2019-04-09 11:00:00Z;6,485991;0;3
2019-04-10 11:00:00Z;5,515739;0;3
2019-04-11 11:00:00Z;4,933539;0;3
2019-04-12 11:00:00Z;4,55336;0;3
2019-04-13 11:00:00Z;4,474593;0;3
2019-04-14 11:00:00Z;4,528405;0;3
2019-04-15 11:00:00Z;4,709141;0;3
2019-04-16 11:00:00Z;5,062698;0;3
2019-04-17 11:00:00Z;5,611968;0;3
2019-04-18 11:00:00Z;5,883576;0;3
2019-04-19 11:00:00Z;7,503062;0;3
2019-04-20 11:00:00Z;10,15563;0;3
2019-04-21 11:00:00Z;19,45144;0;3
2019-04-22 11:00:00Z;25,89462;0;3
2019-04-23 11:00:00Z;23,76951;0;3
2019-04-24 11:00:00Z;21,76151;0;3
2019-04-25 11:00:00Z;27,5504;0;3
2019-04-26 11:00:00Z;34,62909;0;3
2019-04-27 11:00:00Z;32,03182;0;3
2019-04-28 11:00:00Z;30,50236;0;3
2019-04-29 11:00:00Z;25,0062;0;3
2019-04-30 11:00:00Z;22,60487;0;3
2019-05-01 11:00:00Z;19,87054;0;3
2019-05-02 11:00:00Z;15,34216;0;3
2019-05-03 11:00:00Z;11,87807;0;3
2019-05-04 11:00:00Z;8,977233;0;3
2019-05-05 11:00:00Z;7,727124;0;3
2019-05-06 11:00:00Z;7,026441;0;3
2019-05-07 11:00:00Z;5,717178;0;3
2019-05-08 11:00:00Z;4,876165;0;3
2019-05-09 11:00:00Z;4,344565;0;3
2019-05-10 11:00:00Z;6,686614;0;3
2019-05-11 11:00:00Z;8,171743;0;3
2019-05-12 11:00:00Z;6,211569;0;3
2019-05-13 11:00:00Z;5,876098;0;3
2019-05-14 11:00:00Z;5,269908;0;3
2019-05-15 11:00:00Z;5,347555;0;3
2019-05-16 11:00:00Z;6,725128;0;3
2019-05-17 11:00:00Z;8,558629;0;3
2019-05-18 11:00:00Z;11,87205;0;3
2019-05-19 11:00:00Z;13,85556;0;3
2019-05-20 11:00:00Z;14,80253;0;3
2019-05-21 11:00:00Z;15,6122;0;3
2019-05-22 11:00:00Z;17,93961;0;3
2019-05-23 11:00:00Z;23,04784;0;3
2019-05-24 11:00:00Z;18,23768;0;3
2019-05-25 11:00:00Z;15,32511;0;3
2019-05-26 11:00:00Z;13,42399;0;3
2019-05-27 11:00:00Z;10,66681;0;3
2019-05-28 11:00:00Z;8,829305;0;3
2019-05-29 11:00:00Z;9,174059;0;3
2019-05-30 11:00:00Z;25,80171;0;3
2019-05-31 11:00:00Z;31,2407;0;3
2019-06-01 11:00:00Z;24,84109;0;3
2019-06-02 11:00:00Z;23,53154;0;3
2019-06-03 11:00:00Z;34,78194;0;3
2019-06-04 11:00:00Z;41,46511;0;3
2019-06-05 11:00:00Z;29,83782;0;3
2019-06-06 11:00:00Z;21,38385;0;3
2019-06-07 11:00:00Z;25,06;0;3
2019-06-08 11:00:00Z;20,98593;0;3
2019-06-09 11:00:00Z;19,05148;0;3
2019-06-10 11:00:00Z;26,15823;0;3
2019-06-11 11:00:00Z;19,91774;0;3
2019-06-12 11:00:00Z;14,21776;0;3
2019-06-13 11:00:00Z;12,42958;0;3
2019-06-14 11:00:00Z;11,3437;0;3
2019-06-15 11:00:00Z;9,911875;0;3
2019-06-16 11:00:00Z;9,441887;0;3
2019-06-17 11:00:00Z;11,32595;0;3
2019-06-18 11:00:00Z;22,64577;0;3
2019-06-19 11:00:00Z;29,48003;0;3
2019-06-20 11:00:00Z;18,26521;0;3
2019-06-21 11:00:00Z;17,06225;0;3
2019-06-22 11:00:00Z;37,34958;0;3
2019-06-23 11:00:00Z;50,08017;0;3
